Switch Name,Type,Top Housing Material,Bottom Housing Material,Stem Material,Mount Type,Spring,Act. Weight,Bot.-Out Weight,Pre-Travel Dist.,Total Travel Dist.
PH Studio Aniya,Linear,POM,POM,LY,PCB (5-pin),20 mm Single-Stage Extension Spring,42g,50g,2.00 mm,3.20 mm
PH Studio Bocchi,Linear,PC,Nylon,POM,PCB (5-pin),22 mm Single-Stage Extension Spring,40g,46g,,3.50 mm
PH Studio Jacaranda,Linear,PC,Nylon,POM,PCB (5-pin),22 mm Single-Stage Extension Spring,39g,45g,2.00 mm,3.50 mm
PH Studio Little Rabbit,Linear,Nylon,Nylon,LY,PCB (5-pin),Stainless Steel Spring,37g,45g,,3.60 mm
PH Studio Milk Tea,Linear,POM,POM,LY,PCB (5-pin),22 mm Single-Stage Extension Spring,37.5g,43.5g,2.00 mm,3.60 mm
PH Studio Yoel,Linear,PC,POM,LY,PCB (5-pin),20 mm Single-Stage Extension Spring,53g,60g,2.00 mm,3.20 mm
Philikey Green/Grey,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,55g,70g,2.00 mm,4.00 mm
Philikey Peach Silent,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,32g,42g,1.60 mm,3.50 mm
Philikey Pink Cloud,Linear,POM,POM,POM,PCB (5-pin),Stainless Steel Spring,30g,40g,1.50 mm,3.60 mm
Philikey Rainbow,Linear,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,40g,45g,1.60 mm,3.50 mm
Philikey Red/Green,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,40g,45g,2.00 mm,4.00 mm
Phoenix Axis L8,Linear,PC,PC,PC,PCB (5-pin),Stainless Steel Spring,43g,,1.80 mm,3.60 mm
Piifox Dark Warbler,Linear,PC,PC,POM,Plate (3-pin),Stainless Steel Spring,45g,53g,1.90 mm,4.00 mm
Piifox Pink Warbler,Linear,PC,PC,POM,Plate (3-pin),Stainless Steel Spring,42g,50g,1.90 mm,4.00 mm
PK Cluck,Tactile,PBT,Nylon,POM,PCB (5-pin),22 mm Stainless Steel Extension Spring,,60g,,3.00 mm
PK Sora,Linear,PBT,Nylon,POM,PCB (5-pin),22 mm Stainless Steel Extension Spring,,60g,,3.00 mm
pkkeys Misu,Linear,PC,Nylon,POM,PCB (5-pin),22 mm Stainless Steel Spring,,63.5g,,
Prevail Epsilon,Linear,Nylon,Nylon,P3,PCB (5-pin),18 mm Gold-Plated Extension Spring,42g,68g,2.00 mm,4.00 mm
Prevail Nebula,Linear,Nylon,Nylon,LY,PCB (5-pin),19 mm Stainless Steel Extension Spring,42g,68g,2.00 mm,4.00 mm
PrimeKB T1 Opaque - 62g,Tactile,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,62g,,
PrimeKB T1 Opaque - 65g,Tactile,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,65g,,
PrimeKB T1 Translucent - 62g,Tactile,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,62g,,
PrimeKB T1 Translucent - 67g,Tactile,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,67g,,
Protozoa Studio Moss - 62g,Linear,PC,Nylon,POM,PCB (5-pin),Gold-Plated Spring,,62g,,
Protozoa Studio Moss - 67g,Linear,PC,Nylon,POM,PCB (5-pin),Gold-Plated Spring,,67g,,
Protozoa Studio Nightcall Silent,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,66g,,
Protozoa Studio Solaris,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,66g,,
ProWorld Cherry MX Clone,Clicky,,,,Plate (3-pin),Stainless Steel Spring,90g,,,
ProWorld Cherry MX Clone,Linear,,,,Plate (3-pin),Stainless Steel Spring,90g,,,
Pryzma Java,Linear,Nylon,Nylon,POM,PCB (5-pin),20 mm Stainless Steel Spring,52g,57g,,3.50 mm
Pryzma Seafoam,Linear,Nylon,Nylon,POM,PCB (5-pin),20 mm Stainless Steel Spring,58g,63g,,3.50 mm
Punkshoo Indulgence,Linear,PBT,POK,POM,PCB (5-pin),Stainless Steel Spring,,60g,,3.80 mm
Qeeke Begonia,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,55g,2.00 mm,3.40 mm
Qeeke Mica,Linear,POM,POM,POM,PCB (5-pin),Stainless Steel Spring,,,,
Qtuo Studio Milk Candy Blue,Linear,PC,PBT,UHMWPE,PCB (5-pin),22 mm KOS Steel Extension Spring,38g,48g,2.00 mm,3.50 mm
Qtuo Studio Milk Candy Pink,Linear,PC,PBT,UHMWPE,PCB (5-pin),22 mm KOS Steel Extension Spring,38g,48g,2.00 mm,3.50 mm
Qtuo Studio Milk Candy Yellow,Linear,PC,PBT,UHMWPE,PCB (5-pin),22 mm KOS Steel Extension Spring,38g,48g,2.00 mm,3.50 mm
Qtuo Studio Mitarashi Dango,Linear,LY,LY,POM,PCB (5-pin),21 mm Stainless Steel Spring,,60g,,3.80 mm
Qtuo Studio Strawberry Shortcake,Linear,Q1,,P3,PCB (5-pin),Two-Stage Stainless Steel Spring,,42g,2.00 mm,3.60 mm
QwertyKeys QK01,Linear,POM,POM,POM,PCB (5-pin),Stainless Steel Spring,42g,55g,2.00 mm,3.50 mm
Qwertyqop Hoshizora,Linear,,,P3,PCB (5-pin),Two-Stage Stainless Steel Spring,,63.5g,,3.50 mm
Qwertyqop Musetsu,Tactile,,,,PCB (5-pin),Stainless Steel Spring,,60g,,3.50 mm
Qwertyqop Quartz V1,Linear,PC,Nylon,P3,PCB (5-pin),Stainless Steel Spring,,63.5g,2.00 mm,3.50 mm
Qwertyqop Quartz V2,Linear,PC,Nylon,P3,PCB (5-pin),Korean KOS Steel Spring,,63.5g,2.00 mm,3.50 mm
Qwertyqop W1 Diamond,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,55g,,4.00 mm
Qwertyqop Yellow Fruit Diamond,Linear,PC,Nylon,POM,PCB (5-pin),21.5 mm Stainless Steel Spring,37g,45g,1.90 mm,3.60 mm
Raccazr KU Brown,Tactile,,,,Plate (3-pin),Stainless Steel Spring,36g,55g,2.00 mm,4.00 mm
Raccazr KU Orange,Linear,,,,Plate (3-pin),Stainless Steel Spring,45g,48g,1.80 mm,3.50 mm
Raininkeys Karman,Linear,POK,PBT,UPE,PCB (5-pin),Stainless Steel Spring,50g,65g,1.80 mm,3.80 mm
Rama Works Duck,Linear,PC,Nylon,POM,PCB (5-pin),Two-Stage Stainless Steel Spring,62g,70g,2.00 mm,3.70 mm
Rapoo Black,Linear,Nylon,Nylon,POM,Plate (3-pin),Stainless Steel Spring,,60g,,4.00 mm
Rapoo Blue,Clicky,Nylon,Nylon,POM,Plate (3-pin),Stainless Steel Spring,,60g,,4.00 mm
Rapoo Brown,Tactile,Nylon,Nylon,POM,Plate (3-pin),Stainless Steel Spring,,55g,,4.00 mm
Rapoo Yellow,Linear,Nylon,Nylon,POM,Plate (3-pin),Stainless Steel Spring,,50g,,4.00 mm
Razer Green,Clicky,,,,Plate (3-pin),Stainless Steel Spring,50g,,1.90 mm,4.00 mm
Razer Optical,Linear,,,,Plate (3-pin),Stainless Steel Spring,45g,70g,1.20 mm,3.50 mm
Razer Optical,Clicky,,,,Plate (3-pin),Stainless Steel Spring,45g,70g,1.50 mm,3.50 mm
Razer Orange,Tactile,,,,Plate (3-pin),Stainless Steel Spring,50g,,2.00 mm,4.00 mm
Razer Yellow,Linear,,,,Plate (3-pin),Stainless Steel Spring,45g,,1.20 mm,3.50 mm
Readson K Yellow,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,55g,2.00 mm,4.00 mm
Readson Silver,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,55g,1.20 mm,3.40 mm
Rebult Harimau,Tactile,Nylon,Nylon,POM,PCB (5-pin),18 mm Stainless Steel Spring,,67g,2.40 mm,
Rebult Penyu,Linear,Nylon,Nylon,,PCB (5-pin),Stainless Steel Spring,,62g,2.10 mm,
Redragon Bean,Linear,PC,PC,POM,Plate (3-pin),Stainless Steel Spring,45g,65g,2.00 mm,4.00 mm
Redragon Carnation,Clicky,PC,PC,POM,Plate (3-pin),Stainless Steel Spring,45g,60g,2.00 mm,4.00 mm
Redragon Crystal Panda,Tactile,PC,PC,PC,Plate (3-pin),Stainless Steel Spring,60g,,2.30 mm,3.30 mm
Redragon Cypress,Clicky,,,POM,Plate (3-pin),Stainless Steel Spring,55g,65g,1.70 mm,3.40 mm
Redragon Dustproof Black,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,80g,,,
Redragon Dustproof Blue,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,60g,,,
Redragon Dustproof Brown,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,60g,,,
Redragon Dustproof Purple,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,60g,,,
Redragon Dustproof Red,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,60g,,,
Redragon Dustproof SMD Brown,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,60g,,,
Redragon Gold-Melt,Linear,,,,Plate (3-pin),Stainless Steel Spring,42g,,2.00 mm,4.00 mm
Redragon Leopard,Linear,,,,PCB (5-pin),Stainless Steel Spring,45g,55g,2.00 mm,3.60 mm
Redragon Lime Silent,Tactile,,,,Plate (3-pin),Stainless Steel Spring,35g,50g,1.80 mm,3.30 mm
Redragon Lion,Linear,,,,PCB (5-pin),Stainless Steel Spring,40g,50g,2.00 mm,3.30 mm
Redragon Maple,Linear,,,POM,Plate (3-pin),Stainless Steel Spring,45g,55g,1.30 mm,3.50 mm
Redragon Mint Lemon,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,37g,45g,2.00 mm,3.80 mm
Redragon Neon,Linear,,,,Plate (3-pin),Stainless Steel Spring,40g,50g,2.00 mm,4.00 mm
Redragon Panda,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,35g,45g,2.00 mm,3.80 mm
Redragon Parrot,Clicky,,,,Plate (3-pin),Stainless Steel Spring,40g,50g,2.00 mm,4.00 mm
Redragon Peach Silent,Linear,,,,Plate (3-pin),Stainless Steel Spring,40g,45g,2.00 mm,3.30 mm
Redragon Purple,Tactile,,,,Plate (3-pin),Stainless Steel Spring,35g,,1.80 mm,3.30 mm
Redragon Red,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,,2.00 mm,4.00 mm
Redragon Rose Silent,Linear,,,,Plate (3-pin),Stainless Steel Spring,40g,50g,2.30 mm,3.50 mm
Redragon Sapphire,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,40g,60g,2.00 mm,3.80 mm
Redragon Silver,Linear,,,,Plate (3-pin),Stainless Steel Spring,35g,45g,1.30 mm,4.00 mm
Redragon Stars Silent,Tactile,,,,Plate (3-pin),Stainless Steel Spring,40g,55g,2.30 mm,3.30 mm
Redragon Tiger,Linear,POM,POM,UPE,Plate (3-pin),Stainless Steel Spring,50g,60g,2.00 mm,4.00 mm
Redragon Tiger,Tactile,POM,POM,UPE,Plate (3-pin),Stainless Steel Spring,45g,60g,2.00 mm,4.00 mm
Redragon Transparent,Linear,,,,Plate (3-pin),Stainless Steel Spring,42g,,1.50 mm,3.60 mm
Redragon Wukong,Tactile,,,,Plate (3-pin),Stainless Steel Spring,50g,65g,1.80 mm,3.30 mm
Revo Pink,Tactile,PC,,,PCB (5-pin),Stainless Steel Spring,,62g,,
RK Amber,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,55g,2.00 mm,4.00 mm
RK Aqua,Linear,Nylon,Nylon,POM,Plate (3-pin),Stainless Steel Spring,41g,48g,1.90 mm,4.00 mm
RK Biluo,Linear,POM,POM,LY,PCB (5-pin),Stainless Steel Spring,42g,,2.00 mm,3.40 mm
RK Brown,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,55g,2.00 mm,4.00 mm
RK Celadon,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,60g,2.00 mm,4.00 mm
RK Chartreuse,Linear,Nylon,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,55g,2.00 mm,3.40 mm
RK Cloud,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,45g,,2.00 mm,3.40 mm
RK Evening Star,Linear,Nylon,Nylon,POM,Plate (3-pin),Stainless Steel Spring,41g,48g,1.90 mm,4.00 mm
RK Golden Purple,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,60g,2.00 mm,4.00 mm
