Switch Name,Type,Top Housing Material,Bottom Housing Material,Stem Material,Mount Type,Spring,Act. Weight,Bot.-Out Weight,Pre-Travel Dist.,Total Travel Dist.
1upkeyboards Soft Panda,Linear,,,,Plate (3-pin),Stainless Steel Spring,,67g,,
43Studio Jing,Linear,Nylon,Nylon,P3,PCB (5-pin),16.5 mm Stainless Steel Spring,52g,62g,,3.70 mm
43Studio Obsidian Long,Linear,PC,Nylon,P3,PCB (5-pin),Stainless Stel Spring,55g,62g,,
43Studio Obsidian Pro,Linear,,Nylon,POM,PCB (5-pin),14 mm Stainless Steel Spring,50g,62g,,
43Studio Obsidian Pro V2,Linear,,Nylon,POM,PCB (5-pin),16.5 mm Stainless Steel Spring,50g,62g,,
43Studio OPBlack,Linear,,Nylon,POM,PCB (5-pin),Stainless Steel Spring,55g,65g,,
43Studio Popu,Linear,,Nylon,POM,PCB (5-pin),Stainless Steel Spring,55g,65g,,
43Studio RARA V2,Tactile,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,63.5g,,
43Studio Toy Brick,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,63.5g,,
80Retros Dustproof GAME 1989,Linear,PC,Nylon,POM,PCB (5-pin),22 mm Stainless Steel Spring,45g,50g,1.50 mm,3.20 mm
80Retros FJ400,Linear,PC,P2,T2,PCB (5-pin),22 mm Stainless Steel Spring,50g,58g,2.00 mm,3.80 mm
80Retros GAME 1989,Linear,PC,Nylon,POM,PCB (5-pin),22 mm Stainless Steel Spring,45g,50g,1.50 mm,3.20 mm
80Retros KD200,Linear,Nylon,P2,LY,PCB (5-pin),Stainless Steel Spring,45g,50g,2.00 mm,3.50 mm
415Keys Sunset,Linear,Nylon,Nylon,Nylon,PCB (5-pin),Stainless Steel Spring,,63.5g,,
AEBoards All Clack,Tactile,PC,Nylon,UPE,PCB (5-pin),Two-Stage Spring,,62g,,
AEBoards Blaeck,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,63.5g,,
AEBoards Naevy R1.5,Tactile,PC,Nylon,MPE,Plate (3-pin),Stainless Steel Spring,,58g,,
AEBoards Naevy R2,Tactile,Nylon,Nylon,POM,PCB (5-pin),Two-Stage Stainless Steel Spring,,63.5g,,
AEBoards Raed,Linear,PC,Nylon,MPE,PCB (5-pin),Stainless Steel Spring,,58g,,
AEBoards Raed R2,Linear,PC,Nylon,MPE,PCB (5-pin),Stainless Steel Spring,,58g,,
AEBoards Snag,Linear,PC,Nylon,MPE,PCB (5-pin),Two-Stage Stainless Steel Spring,,62g,,
Aflion Blue Sky,Linear,PC,Nylon,POM,PCB (5-pin),15 mm Stainless Steel Spring,50g,60g,2.00 mm,4.00 mm
Aflion Blush,Linear,PC,Nylon,POM,PCB (5-pin),Two-Stage Stainless Steel Spring,,58g,,3.30 mm
Aflion Carrot,Tactile,PC,Nylon,POM,PCB (5-pin),20 mm Two-Stage Stainless Steel Spring,43g,53g,2.00 mm,4.00 mm
Aflion Cloudy Shadow,Linear,PC,Nylon,POM,PCB (5-pin),20 mm Two-Stage Stainless Steel Spring,,63.5g,2.00 mm,3.50 mm
Aflion Foggy Shadow,Tactile,PC,Nylon,POM,PCB (5-pin),20 mm Two-Stage Stainless Steel Spring,,63.5g,2.00 mm,3.50 mm
Aflion Haze,Linear,PC,Nylon,POM,PCB (5-pin),20 mm Extension Stainless Steel Spring,50g,57g,,4.00 mm
Aflion Iceberg,Linear,PC,Nylon,POM,PCB (5-pin),20 mm Two-Stage Stainless Steel Spring,37g,43g,2.00 mm,4.00 mm
Aflion Lavender,Tactile,PC,Nylon,POM,PCB (5-pin),Two-Stage Stainless Steel Spring,55g,,,3.30 mm
Aflion Melody,Tactile,PC,Nylon,POM,PCB (5-pin),Two-Stage Stainless Steel Spring,,60g,,3.50 mm
Aflion Panda,Tactile,PC,Nylon,POM,PCB (5-pin),15 mm Single-Stage Spring,55g,65g,2.00 mm,4.00 mm
Aflion Runner,Tactile,Nylon,Nylon,POM,PCB (5-pin),Two-Stage Stainless Steel Spring,,70g,,3.50 mm
Aflion Shadow (Ink) Double Spring,Tactile,PC,PC,POM,PCB (5-pin),20 mm Two-Stage Stainless Steel Spring,55g,63g,2.00 mm,4.00 mm
Aflion Shadow (Ink) Single Spring,Tactile,PC,PC,POM,PCB (5-pin),20 mm Single-Stage Stainless Steel Spring,48g,55g,2.00 mm,4.00 mm
Aflion Thunder Shadow,Tactile,PC,Nylon,POM,PCB (5-pin),20 mm Two-Stage Stainless Steel Spring,,63.5g,2.00 mm,3.50 mm
Aflion Windy Shadow,Linear,PC,Nylon,POM,PCB (5-pin),19.3 mm Two-Stage Stainless Steel Spring,,55g,2.00 mm,3.50 mm
AIGUOX Bright Moon,Linear,PC,PC,PC,PCB (5-pin),19.1 mm Single-Stage Stainless Steel Spring,37g,42g,2.00 mm,3.40 mm
AIGUOX Clear,Tactile,PC,PC,PC,PCB (5-pin),Stainless Steel Spring,45g,60g,2.00 mm,4.00 mm
AIGUOX Yellow,,,,,,Stainless Steel Spring,35g,,,
Ainy Matcha Green,Linear,Nylon,Nylon,POM,Plate (3-pin),15 mm Single-Stage Stainless Spring,40g,,1.80 mm,4.00 mm
Ajazz AS 001 Red,Linear,PC,Nylon,POM,Plate (3-pin),22 mm Extension Spring,42g,50g,2.00 mm,3.50 mm
Ajazz AS 101 Yellow,Linear,PC,Nylon,POM,Plate (3-pin),22 mm Extension Spring,42g,60g,2.00 mm,3.00 mm
Ajazz AS Coral Pink,Linear,PC,PC,POM,Plate (3-pin),Stainless Steel Spring,37g,45g,2.00 mm,4.00 mm
Ajazz AS Foggy Mountain Green,Linear,PC,PC,POM,Plate (3-pin),Stainless Steel Spring,45g,55g,2.00 mm,4.00 mm
Ajazz AS Red Spirit,Linear,PC,PC,POM,Plate (3-pin),Stainless Steel Spring,37g,45g,2.00 mm,4.00 mm
Ajazz AS Sky Blue,Tactile,PC,PC,POM,Plate (3-pin),Stainless Steel Spring,50g,65g,2.00 mm,4.00 mm
Ajazz AS Sunrise Yellow,Linear,PC,PC,POM,Plate (3-pin),Stainless Steel Spring,45g,55g,1.20 mm,3.50 mm
Ajazz Black,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,,60g,,4.00 mm
Ajazz Brown,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,60g,2.00 mm,4.00 mm
Ajazz Cream Red,,,,,,Stainless Steel Spring,35g,,,
Ajazz Cream White,,,,,,Stainless Steel Spring,35g,,,
Ajazz Diced Fruit Banana,Tactile,PC,Nylon,POM,Plate (3-pin),21.5 mm Two-Stage Stainless Steel Spring,40g,50g,1.90 mm,3.30 mm
Ajazz Diced Fruit Blueberry,Linear,PC,Nylon,POM,Plate (3-pin),15.5 mm Single-Stage Stainless Steel Spring,35g,48g,2.00 mm,3.80 mm
Ajazz Diced Fruit Cherry,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,60g,2.00 mm,3.50 mm
Ajazz Diced Fruit Kiwi,Tactile,PC,PC,POM,Plate (3-pin),21 mm Single-Stage Extension Spring,50g,60g,1.90 mm,3.30 mm
Ajazz Diced Fruit Lychee,Linear,PC,PC,POM,Plate (3-pin),Stainless Steel Spring,40g,50g,2.00 mm,3.50 mm
Ajazz Diced Fruit Peach,Linear,PC,PC,POM,Plate (3-pin),20 mm Single-Stage Stainless Steel Spring,40g,50g,2.00 mm,4.00 mm
Ajazz Douyu Barrage,Tactile,Nylon,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,65g,2.00 mm,4.00 mm
Ajazz Douyu Orange,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,40g,50g,2.00 mm,3.30 mm
Ajazz Douyu Shark,Linear,Nylon,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,55g,2.00 mm,4.00 mm
Ajazz Douyu White,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,65g,2.00 mm,4.00 mm
Ajazz Flying Fish,Linear,Nylon,Nylon,POM,Plate (3-pin),Stainless Steel Spring,42g,48g,2.00 mm,3.60 mm
Ajazz Gift,Linear,Nylon,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,60g,2.00 mm,3.60 mm
Ajazz Green Grapefruit,Tactile,PC,PC,POM,PCB (5-pin),Two-Stage Stainless Steel Spring,47g,55g,2.00 mm,
Ajazz Green Plum,Linear,Nylon,Nylon,POM,Plate (3-pin),Stainless Steel Spring,37g,40g,2.00 mm,3.50 mm
Ajazz Moon,Linear,Nylon,Nylon,POM,Plate (3-pin),Stainless Steel Spring,37g,40g,2.00 mm,3.50 mm
Ajazz Red,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,60g,2.00 mm,4.00 mm
Ajazz Sea Salt,Linear,Nylon,Nylon,POM,Plate (3-pin),Stainless Steel Spring,40g,45g,2.00 mm,3.50 mm
Ajazz Violet,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,,65g,,4.00 mm
Akko Blue V1,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,60g,2.00 mm,4.00 mm
Akko Blue V2,Clicky,PC,Nylon,POM,Plate (3-pin),14mm Conventional Spring,50g,60g,1.90 mm,4.00 mm
Akko Botany,,,,,,,,,,
Akko Cream Black Pro V3,Linear,PC,Nylon,POM,PCB (5-pin),20 mm Spring,55g,65g,2.00 mm,3.30 mm
Akko Cream Blue Pro V3,Tactile,PC,Nylon,POM,PCB (5-pin),20 mm Spring,45g,55g,2.20 mm,3.30 mm
Akko Cream Blue V3,Tactile,PC,Nylon,POM,Plate (3-pin),18 mm Extension Spring,38g,53g,2.00 mm,3.50 mm
Akko Cream Yellow Hall Effect,Hall Effect,,,,,Stainless Steel Spring,,50g,,4.00 mm
Akko Cream Yellow Pro V3,Linear,PC,Nylon,POM,PCB (5-pin),20 mm Spring,50g,60g,2.00 mm,3.30 mm
Akko Cream Yellow V3,Linear,PC,Nylon,POM,Plate (3-pin),18 mm Extension Spring,50g,58g,1.90 mm,3.50 mm
Akko Creamy Purple Pro V3,Tactile,PC,Nylon,Nylon,PCB (5-pin),20 mm Spring,30g,50g,2.00 mm,3.00 mm
Akko Crystal Pro V3,Linear,PC,PC,PC,Plate (3-pin),18 mm Spring,48g,60g,2.00 mm,3.80 mm
Akko CS Air,Linear,PC,PC,POM,Plate (3-pin),22 mm Extension Spring,50g,56g,1.90 mm,4.00 mm
Akko CS Crystal,Linear,PC,PC,PC,Plate (3-pin),18 mm Extension Spring,43g,50g,1.60 mm,4.00 mm
Akko CS Crystal Blue,Linear,PC,PC,PC,Plate (3-pin),22mm Extension Spring,40g,50g,1.60 mm,4.00 mm
Akko CS Crystal Silver,Linear,PC,PC,PC,Plate (3-pin),22 mm Two-Stage Spring,43g,48g,1.00 mm,3.00 mm
Akko CS Crystal Wine Red,Linear,PC,PC,PC,Plate (3-pin),23 mm Extension Spring,45g,48g,1.60 mm,3.60 mm
Akko CS Jelly Black,Linear,PC,PC,POM,Plate (3-pin),22 mm Extension Spring,50g,60g,1.90 mm,4.00 mm
Akko CS Jelly Black,Linear,PC,PC,POM,Plate (3-pin),22 mm Extension Spring,50g,60g,1.90 mm,4.00 mm
Akko CS Jelly Blue,Tactile,PC,PC,POM,Plate (3-pin),22 mm Two-Stage Spring,40g,60g,2.00 mm,4.00 mm
Akko CS Jelly Pink,Linear,PC,PC,POM,Plate (3-pin),22 mm Extension Spring,45g,55g,1.90 mm,4.00 mm
Akko CS Jelly Purple,Tactile,PC,PC,POM,Plate (3-pin),22 mm Extension Spring,40g,56g,2.00 mm,4.00 mm
Akko CS Jelly White,Linear,PC,PC,POM,Plate (3-pin),22 mm Extension Spring,35g,45g,1.90 mm,4.00 mm
Akko CS Lavender Purple,Tactile,PC,Nylon,POM,Plate (3-pin),18 mm Extension Spring,36g,50g,1.90 mm,3.50 mm
Akko CS Matcha Green,Linear,PC,Nylon,POM,Plate (3-pin),16 mm Progressive Spring,50g,63g,1.90 mm,4.00 mm
Akko CS Ocean Blue,Tactile,PC,Nylon,POM,Plate (3-pin),16 mm Progressive Spring,36g,41g,1.90 mm,4.00 mm
Akko CS Piano,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,48g,53g,1.90 mm,3.50 mm
Akko CS Radiant Red,Linear,PC,Nylon,POM,Plate (3-pin),18 mm Extension Spring,53g,62g,1.90 mm,3.50 mm
Akko CS Rose Red,Linear,PC,Nylon,POM,Plate (3-pin),16 mm Progressive Spring,43g,55g,1.90 mm,3.50 mm
Akko CS Rose Red,Linear,PC,Nylon,POM,Plate (3-pin),16 mm Progressive Spring,43g,48g,1.90 mm,3.50 mm
Akko CS Sakura,Linear,PC,Nylon,POM,Plate (3-pin),22 mm Extension Spring,39g,48g,1.90 mm,4.00 mm
Akko CS Silver,Linear,PC,Nylon,POM,Plate (3-pin),22mm Extension Spring,43g,50g,1.00 mm,3.00 mm
Akko CS Silver,Linear,PC,Nylon,POM,PCB (5-pin),22 mm Extension Spring,45g,48g,1.00 mm,3.00 mm
Akko CS Snow Blue Grey,Linear,PC,Nylon,POM,PCB (5-pin),18 mm Extension Spring,43g,50g,1.90 mm,4.00 mm
Akko CS Sponge,Tactile,PC,Nylon,POM,Plate (3-pin),22 mm Two-Stage Spring,40g,60g,,
Akko CS Starfish,Linear,PC,Nylon,POM,Plate (3-pin),22 mm Two-Stage Spring,50g,60g,1.90 mm,4.00 mm
Akko CS Vintage White,Linear,PC,Nylon,POM,Plate (3-pin),22 mm Extension Spring,35g,45g,1.90 mm,4.00 mm
Akko CS Wine Red,Linear,PC,Nylon,POM,Plate (3-pin),16 mm Progressive Spring,43g,53g,1.90 mm,4.00 mm
Akko CS Wine White,Tactile,PC,Nylon,POM,Plate (3-pin),18mm Extension Spring,36g,55g,2.00 mm,4.00 mm
Akko Demon,Linear,,,,Plate (3-pin),Stainless Steel Spring,50g,63.5g,2.00 mm,4.00 mm
Akko Fairy Silent,Linear,Nylon,Nylon,POM,PCB (5-pin),17 mm Stainless Steel Spring,50g,60g,2.00 mm,3.30 mm
Akko Haze Pink Silent,Linear,PC,PC,POM,Plate (3-pin),Stainless Steel Spring,43g,58g,2.00 mm,4.00 mm
Akko Ice Cream Pink,Linear,POM,POM,POM,PCB (5-pin),Stainless Steel Spring,40g,45g,1.70 mm,4.00 mm
Akko Ice Cream Purple,Linear,POM,POM,POM,PCB (5-pin),Stainless Steel Spring,50g,55g,1.70 mm,4.00 mm
Akko Lavender Purple Pro V3,Tactile,PC,Nylon,POM,PCB (5-pin),20 mm Spring,45g,55g,1.90 mm,3.80 mm
Akko Matcha Green Pro V3,Linear,PC,Nylon,POM,Plate (3-pin),18 mm Spring,55g,63g,2.00 mm,3.80 mm
Akko Orange V1,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,,2.00 mm,4.00 mm
Akko Orange V2,Tactile,PC,Nylon,POM,Plate (3-pin),14mm Conventional Spring,40g,55g,1.90 mm,4.00 mm
Akko Penguin Silent,Tactile,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,43g,60g,2.00 mm,3.30 mm
Akko Piano Pro V3,Linear,Nylon,Nylon,POM,PCB (5-pin),20 mm Spring,45g,55g,1.90 mm,3.50 mm
Akko Pink V1,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,35g,45g,2.00 mm,4.00 mm
Akko Pink V2,Linear,PC,Nylon,POM,Plate (3-pin),14 mm Conventional Spring,45g,55g,2.00 mm,4.00 mm
Akko POM Brown,Tactile,POM,POM,POM,Plate (3-pin),18 mm Extension Spring,40g,50g,1.90 mm,4.00 mm
Akko POM Pink,Linear,POM,POM,POM,Plate (3-pin),22 mm Extension Spring,45g,53g,1.90 mm,4.00 mm
Akko POM Silver,Linear,POM,POM,POM,Plate (3-pin),22 mm Two-Stage Spring,43g,50g,1.00 mm,3.00 mm
Akko Princess,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,,53.5g,2.00 mm,4.00 mm
Akko Purple V1,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,,2.00 mm,4.00 mm
Akko Rosewood,Linear,Nylon,Nylon,Nylon,PCB (5-pin),22 mm Stainless Steel Spring,40g,50g,2.00 mm,4.00 mm
Akko Sakura Pink Hall Effect,Hall Effect,,,,,Stainless Steel Spring,,50g,,4.00 mm
Akko Silver Pro V3,Linear,PC,Nylon,POM,PCB (5-pin),13.8 mm Spring,40g,45g,1.00 mm,3.30 mm
AlphaKeys Blue Dusk Panda,Linear,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,,61g,,
AlphaKeys Ethereal Panda,Tactile,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,68g,,
AlphaKeys Orange Dusk Panda,Linear,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,,67g,,
AlphaKeys POM Glacier Panda,Linear,POM,POM,POM,PCB (5-pin),Two-Stage Stainless Steel Spring,,67g,,
AngryMiao Cyberswitch,Tactile,,,,PCB (5-pin),Stainless Steel Spring,,65g,,3.50 mm
AngryMiao Icy Silver,Linear,,,,PCB (5-pin),Stainless Steel Spring,45g,,,3.40 mm
AngryMiao Icy Silver Pro,Linear,PC,PC,Y3,PCB (5-pin),Stainless Steel Spring,37g,45g,2.00 mm,3.50 mm
AngryMiao Icy Silver Pro V2,Linear,Nylon,Nylon,Y3,PCB (5-pin),Stainless Steel Spring,37g,45g,2.00 mm,3.70 mm
Aregs Caramel Chocolate,Linear,POK,Nylon,H7,PCB (5-pin),Stainless Steel Spring,,53g,1.20 mm,3.80 mm
Aregs Purple Switch,Tactile,POM,POM,POM,PCB (5-pin),Stainless Steel Spring,,63.5g,2.00 mm,4.00 mm
Ashkeebs Alexandrite,Linear,HPE,Nylon,UPE,PCB (5-pin),Stainless Steel Spring,,58g,,
Ashkeebs Amethyst,Tactile,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,,63g,,
Ashkeebs Auralite,Linear,PME,PME,POM,PCB (5-pin),Stainless Steel Spring,,63g,,
Asus ROG NX Blue,Clicky,,,,Plate (3-pin),Stainless Steel Spring,40g,65g,2.30 mm,4.00 mm
Asus ROG NX Brown,Tactile,,,,Plate (3-pin),Stainless Steel Spring,40g,58g,2.00 mm,4.00 mm
Asus ROG NX Red,Linear,,,,Plate (3-pin),Stainless Steel Spring,45g,55g,1.80 mm,4.00 mm
Asus ROG NX Snow,Linear,,,,Plate (3-pin),Stainless Steel Spring,45g,53g,1.80 mm,3.60 mm
Asus ROG NX Storm,Clicky,,,,Plate (3-pin),Stainless Steel Spring,50g,65g,1.80 mm,3.60 mm
Asus ROG RX Blue,Clicky,,,,,,45g,65g,1.50 mm,4.00 mm
Asus ROG RX Red,Linear,,,,,,45g,55g,1.50 mm,4.00 mm
Attack Shark Jelly Blue,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,60g,2.00 mm,4.00 mm
Attack Shark Jelly Green,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,50g,65g,2.00 mm,4.00 mm
Attack Shark Milky White,Linear,PC,Nylon,POM,PCB (5-pin),18 mm Stainless Steel Spring,42g,50g,1.80 mm,3.80 mm
Attack Shark Vibrant Yellow,Linear,PC,Nylon,POM,PCB (5-pin),18 mm Stainless Steel Spring,32g,48g,1.80 mm,3.80 mm
Aula Gold Powder,Linear,,,,Plate (3-pin),Stainless Steel Spring,45g,,,
Aula Matcha,Tactile,,,,Plate (3-pin),Stainless Steel Spring,45g,,,
Aula Wooden Blue,Clicky,,,,Plate (3-pin),Stainless Steel Spring,,,,
B.Stone Alluring Eyes,Linear,PC,Nylon,LY,PCB (5-pin),Stainless Steel Spring,,63.5g,,3.50 mm
B.Stone Dark Eyes,Tactile,PC,Nylon,LY,PCB (5-pin),Stainless Steel Spring,,70g,,3.50 mm
Badseed Tactile,Tactile,Nylon,Nylon,POM,PCB (5-pin),,,63.5g,,
Bald Brother Strawberry Ice Cream V3,Linear,,,,PCB (5-pin),Stainless Steel Spring,53g,58g,,
Balhae Blue,Tactile,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,47g,,,3.30 mm
Ball Bearing “Lucy”,Linear,PC,,,PCB (5-pin),Stainless Steel Spring,45g,60g,2.00 mm,3.50 mm
Ball Bearing Blue,Linear,PC,,,PCB (5-pin),Stainless Steel Spring,45g,60g,2.00 mm,3.50 mm
Ball Bearing Clear Pink,Linear,PC,,,PCB (5-pin),Stainless Steel Spring,45g,60g,2.00 mm,3.50 mm
Ball Bearing Grey,Linear,PC,,,PCB (5-pin),Stainless Steel Spring,45g,60g,2.00 mm,3.50 mm
Ball Bearing Pink,Linear,PC,,,PCB (5-pin),Stainless Steel Spring,45g,60g,2.00 mm,3.50 mm
Batknight Black,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,,,,
Batknight Blue,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,,,,
Batknight Cloud,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,40g,48g,1.20 mm,3.40 mm
Batknight Cloud V2,Linear,POM,POM,LY,PCB (5-pin),Stainless Steel Spring,40g,48g,1.20 mm,3.40 mm
Batknight Green,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,,,,
Batknight Navy,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,40g,48g,2.00 mm,3.70 mm
Batknight Navy V2,Linear,POM,POM,POM,PCB (5-pin),Stainless Steel Spring,40g,50g,2.00 mm,3.30 mm
Batknight Obedience,Tactile,POM,POM,POM,PCB (5-pin),Stainless Steel Spring,45g,55g,2.50 mm,3.40 mm
Batknight Obedience V2,Tactile,POM,POM,POM,PCB (5-pin),Stainless Steel Spring,58g,60g,2.00 mm,3.30 mm
Batknight Red,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,,,,
BBN Linear,Linear,Nylon,PC,POM,PCB (5-pin),Stainless Steel Spring,,63.5g,,
BBN Tactile,Tactile,Nylon,PC,POM,PCB (5-pin),Stainless Steel Spring,,63.5g,,
bespoke.keys EV-00,Linear,Nylon,Nylon,POM,PCB (5-pin),Progressive Stainless Steel Spring,,68g,,
bespoke.keys EV-01,Linear,PC,Nylon,POM,PCB (5-pin),Gold-Plated Spring,,63.5g,,
bespoke.keys EV-02,Linear,PC,Nylon,POM,PCB (5-pin),Gold-Plated Spring,,63.5g,,
Bloody Lightstrike Optical,Clicky,,,,,Stainless Steel Spring,,,,
Bolsa Supply Banshee,Linear,PC,Nylon,LY,PCB (5-pin),18 mm Two-Stage Stainless Steel Spring,,63.5g,,3.60 mm
Bolsa Supply Corsa,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,60g,,3.50 mm
Bolsa Supply Laguna Blue,Linear,POM,POM,LY,PCB (5-pin),20 mm Two-Stage Stainless Steel Spring,,50g,2.00 mm,3.20 mm
Bolsa Supply Namazu,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,65g,,3.50 mm
Bolsa Supply Spring,Linear,POM,POM,LY,PCB (5-pin),21 mm Stainless Steel Spring,,45g,,3.60 mm
Bolsa Supply Techno Violet,Linear,Nylon,Nylon,POM,PCB (5-pin),Two-Stage Stainless Steel Spring,,58g,,3.50 mm
Bolsa Supply Zaku,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,63.5g,,
Bolsa Supply Zaku II,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,,63.5g,,3.50 mm
Bombonera POM Pink,Linear,POM,POM,POM,PCB (5-pin),Stainless Steel Spring,48g,58g,,3.70 mm
BSUN Agarwood,Linear,PC,Nylon,LY,PCB (5-pin),Stainless Steel Spring,50g,58g,2.00 mm,4.00 mm
BSUN Akashi,Linear,POM,Nylon,UPE,PCB (5-pin),22 mm Single-Stage Spring,37g,43g,2.00 mm,3.70 mm
BSUN Aniya R2,Linear,POM,POM,LY,PCB (5-pin),20 mm Single-Stage Extension Spring,42g,50g,2.00 mm,3.20 mm
BSUN Aurora Polaris,Linear,Nylon,Nylon,,PCB (5-pin),Stainless Steel Spring,34g,,1.00 mm,3.20 mm
BSUN Avocado Panda V2,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,65g,2.20 mm,3.40 mm
BSUN Banana,Tactile,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,35g,56g,2.20 mm,4.00 mm
BSUN Banana,Linear,PC,Nylon,POM,PCB (5-pin),Stainless Steel Spring,36g,58g,2.10 mm,3.90 mm
BSUN Beary,Linear,PC,PC,PC,PCB (5-pin),22 mm Single-Stage Stainless Steel Spring,45g,50g,2.00 mm,3.00 mm
BSUN Begonia,Linear,POM,POM,POM,Plate (3-pin),Stainless Steel Spring,40g,50g,2.00 mm,4.00 mm
BSUN Bitao,Linear,PC,PC,POM,PCB (5-pin),Stainless Steel Spring,53g,,1.80 mm,3.20 mm
BSUN Black,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,35g,50g,2.10 mm,4.00 mm
BSUN Black Lychee,Linear,PC,,POM,PCB (5-pin),Stainless Steel Spring,,68g,2.00 mm,4.00 mm
BSUN Blue,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,38g,65g,2.10 mm,4.00 mm
BSUN Brown,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,38g,65g,2.20 mm,4.00 mm
BSUN Bubble,Linear,LY,Nylon,Y3,PCB (5-pin),21 mm Single-Stage,45g,52g,2.00 mm,3.60 mm
BSUN Bubble V2,Linear,POM,POM,LY,PCB (5-pin),20 mm Single-Stage,,50g,2.00 mm,3.60 mm
BSUN Bumblebee,Linear,POM,Nylon,POM,PCB (5-pin),21 mm Single-Stage Spring,45g,50g,2.00 mm,3.60 mm
BSUN Bumblebee,Tactile,PC,Nylon,POM,PCB (5-pin),21 mm Single-Stage Spring,48g,68g,2.20 mm,3.30 mm
BSUN Bunny,Linear,PC,Nylon,LY,PCB (5-pin),22 mm Single-Stage Extension Spring,37g,42g,2.00 mm,3.60 mm
BSUN Cinnamon Pink,Linear,POM,POM,LY,PCB (5-pin),22 mm Single-Stage Nickel-Plated Spring,37g,42g,,3.45 mm
BSUN Clear Panda,Linear,Nylon,Nylon,POM,PCB (5-pin),Stainless Steel Spring,50g,60g,,
BSUN Cliff,Tactile,PC,Nylon,LY,PCB (5-pin),Stainless Steel Spring,37g,45g,2.30 mm,3.60 mm
BSUN Crystal Purple,Tactile,PC,PC,PC,PCB (5-pin),14 mm Stainless Steel Spring,38g,65g,2.00 mm,3.30 mm
BSUN Dragonfruit,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,65g,2.00 mm,3.40 mm
BSUN Dustproof Blue Condenser,Clicky,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,,,,
BSUN Dustproof Brown,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,50g,1.80 mm,3.60 mm
BSUN Dustproof Brown,Tactile,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,50g,1.80 mm,3.60 mm
BSUN Dustproof Red,Linear,PC,Nylon,POM,Plate (3-pin),Stainless Steel Spring,45g,50g,1.80 mm,3.60 mm
BSUN Flower Shadow,Linear,LY,LY,LY,PCB (5-pin),Two-Stage Stainless Steel Spring,37g,50g,2.00 mm,3.10 mm
BSUN Fox,Linear,PC,POM,LY,PCB (5-pin),22 mm Single-Stage Stainless Steel Spring,,42g,2.00 mm,3.40 mm
